,dataset,kecamatan,gender,latitude,longitude,panjang,lebar,ac,air_panas,bak_mandi,bantal,bathtub,cctv,cermin,cleaning_service,dapur,dispenser,ember_mandi,guling,jemuran,kamar_mandi_dalam,kamar_mandi_luar,kartu_akses,kasur,kipas_angin,kloset_duduk,kloset_jongkok,kulkas,kursi,laundry,lemari_baju,locker,meja,meja_makan,microwave,mushola,parkir_mobil,parkir_motor,parkir_sepeda,penjaga_kos,rice_cooker,ruang_santai,shower,sofa,taman,termasuk_listrik,tv,wastafel,wifi,harga,luas,kategori_harga,total_facilities,jumlah_fasilitas_premium,jumlah_fasilitas_non_premium,jumlah_fasilitas_netral,luas_m2
0,itb,coblong,Kos Campur,-6.8775875,107.6147656,4.0,4.0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,2049000,16.0,High,27,11,4,12,16.0
1,itb,cibeunying kaler,Kos Putra,-6.8763607455982,107.62337941381,3.0,4.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1257000,12.0,Medium,17,6,3,8,12.0
2,itb,coblong,Kos Campur,-6.8775875,107.6147656,4.0,4.0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1697000,16.0,Medium,27,10,4,13,16.0
3,itb,coblong,Kos Campur,-6.8821926885901,107.61904839179,3.0,3.0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1330000,9.0,Medium,22,6,6,10,9.0
4,itb,coblong,Kos Campur,-6.8775875,107.6147656,4.0,4.0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,2305000,16.0,High,27,11,4,12,16.0
5,itb,coblong,Kos Campur,-6.886237150133,107.62042393791,4.0,3.0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1897000,12.0,Medium,21,8,3,10,12.0
6,itb,coblong,Kos Campur,-6.886237150133,107.62042393791,4.0,3.0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1564000,12.0,Medium,19,6,3,10,12.0
7,itb,coblong,Kos Campur,-6.875484,107.617516,3.0,4.0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,2093000,12.0,High,21,10,2,9,12.0
8,itb,sukajadi,Kos Putra,-6.8818395,107.5982929,3.0,3.5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1020000,10.5,Medium,14,4,3,7,10.5
9,itb,sukajadi,Kos Putra,-6.8818395,107.5982929,3.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,975000,9.0,Low,13,4,2,7,9.0
10,itb,sukajadi,Kos Putra,-6.8818395,107.5982929,3.5,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1245000,14.0,Medium,15,5,2,8,14.0
11,itb,sukajadi,Kos Putra,-6.8818395,107.5982929,2.5,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,835000,7.5,Low,13,4,2,7,7.5
12,itb,coblong,Kos Campur,-6.8828961054128,107.62092232704,3.0,4.0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1300000,12.0,Medium,20,5,6,9,12.0
13,itb,coblong,Kos Putra,-6.8864643495446,107.62505862862,3.0,4.0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1750000,12.0,Medium,21,8,2,11,12.0
14,itb,coblong,Kos Campur,-6.8912455898163,107.62476958867,3.0,3.5,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1348000,10.5,Medium,16,7,1,8,10.5
15,itb,coblong,Kos Campur,-6.8939799038585,107.60388009186,3.0,3.5,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,2275000,10.5,High,22,11,2,9,10.5
16,itb,coblong,Kos Putra,-6.8755376625223,107.61432418157,2.5,3.0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1830000,7.5,Medium,24,11,1,12,7.5
17,itb,cidadap,Kos Putra,-6.8756618943683,107.60398238206,3.0,3.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,781800,9.0,Low,16,3,6,7,9.0
18,itb,cidadap,Kos Putri,-6.882169,107.603662,2.5,2.5,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1000000,6.25,Low,17,4,3,10,6.25
19,itb,coblong,Kos Campur,-6.8939799038585,107.60388009186,3.0,3.0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1129000,9.0,Medium,19,7,4,8,9.0
20,itb,coblong,Kos Putra,-6.8755376625223,107.61432418157,3.0,3.0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,2185000,9.0,High,24,10,3,11,9.0
21,itb,cidadap,Kos Campur,-6.878851,107.604271,3.0,3.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,718000,9.0,Low,12,1,5,6,9.0
22,itb,coblong,Kos Campur,-6.8912455898163,107.62476958867,3.0,3.5,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1313000,10.5,Medium,14,7,1,6,10.5
23,itb,coblong,Kos Putri,-6.8823223262891,107.61311658729,2.5,2.5,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,720200,6.25,Low,15,1,5,9,6.25
24,itb,coblong,Kos Campur,-6.8939799038585,107.60388009186,4.0,4.5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,2545000,18.0,High,21,10,2,9,18.0
25,itb,cibeunying kaler,Kos Putra,-6.8965983,107.6281153,3.0,3.5,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,835000,10.5,Low,12,1,5,6,10.5
